poi_id,osm_id,category,name,lat,lon
POI_000273,267042901,petrol_station,Repsol,28.9236377,-13.8245989
POI_000274,839477351,petrol_station,Disa,28.9546192,-13.7629987
POI_000275,839475509,petrol_station,Disa,28.9483858,-13.6863464
POI_000276,287005979,petrol_station,Disa Puerto del Carmen,28.923861,-13.666361
POI_000277,287005980,petrol_station,PCAN,28.9513407,-13.6491899
POI_000278,839487177,petrol_station,SPL,28.9551358,-13.631282
POI_000279,1614161174,petrol_station,Estación de Servicio SPL Playas I,28.9494431,-13.6163478
POI_000280,1614161175,petrol_station,Estación de Servicio SPL Playas II,28.9496868,-13.6156337
POI_000281,839488570,petrol_station,Moeve,28.9535577,-13.6079425
POI_000282,287005977,petrol_station,Moeve,29.0650444,-13.6707849
POI_000283,3050104636,petrol_station,Repsol,28.9582747,-13.5925439
POI_000284,839483885,petrol_station,Disa,28.958417,-13.575389
POI_000285,287005984,petrol_station,Disa,28.9579969,-13.571748
POI_000286,631608470,petrol_station,Estación de Servicio Repsol Volcán Este,28.9650039,-13.5689231
POI_000287,1907362609,petrol_station,Estación de Servicio Repsol Canary Green Corner,28.9651512,-13.5679997
POI_000288,839487526,petrol_station,Shell,28.9652092,-13.5573991
POI_000289,839469476,petrol_station,Moeve Barambio,28.9761839,-13.5706582
POI_000290,631608472,petrol_station,Repsol,28.9717049,-13.5644835
POI_000291,287005987,petrol_station,Estación de Servicio Disa Arrecife,28.9622752,-13.5524024
POI_000292,287005762,petrol_station,BP,28.9682262,-13.5436658
POI_000293,1907395765,petrol_station,BP,28.9654182,-13.5460783
POI_000294,287005765,petrol_station,Shell Arrecife II,28.9721472,-13.5466366
POI_000295,1907402541,petrol_station,Shell,28.9724246,-13.5460166
POI_000296,12905298496,petrol_station,Plenergy Arrecife II,28.9769362,-13.5451625
POI_000297,287005760,petrol_station,DISA BANADEROS,28.9742589,-13.534374
POI_000298,287005764,petrol_station,Estación de Servicio Disa Circunvalación II,28.9798291,-13.5357616
POI_000299,287005766,petrol_station,Moeve,28.987667,-13.543806
POI_000300,1907415622,petrol_station,Moeve,28.9882529,-13.5428721
POI_000301,287005982,petrol_station,Disa,29.0129036,-13.613853
POI_000302,1907440254,petrol_station,Moeve,29.0505127,-13.5623761
POI_000303,269022867,petrol_station,Moeve,29.0567729,-13.5648943
POI_000304,287005756,petrol_station,Disa,28.9869103,-13.5158995
POI_000305,287005758,petrol_station,DISA COSTA TEGUISE,29.0005331,-13.5039842
POI_000306,3759377165,petrol_station,Moeve,29.0601404,-13.4896222
POI_000307,839480007,petrol_station,Moeve,29.1493761,-13.4987345
POI_000308,287005750,petrol_station,PCAN Arrieta,29.131722,-13.464861
POI_000309,9643262617,petrol_station,Atlas,27.6718057,-13.1633327
POI_000310,12357697495,petrol_station,,27.6745024,-12.9570651
POI_000311,10245746899,petrol_station,,27.8847922,-12.8783091
POI_000312,1419414705,petrol_station,,27.9351155,-12.9289876
POI_000313,9734325499,petrol_station,,27.937819,-12.9217909
POI_000314,1038353457,petrol_station,,27.9466286,-12.8866481
POI_000315,5985185817,petrol_station,Petrom بتروم,27.9939345,-12.5680257
POI_000316,10245767944,petrol_station,,28.0869813,-12.0794508
POI_000317,2543199473,petrol_station,,28.0890497,-12.0719243
POI_000318,5314479323,petrol_station,Atlas Sahara,28.0938082,-12.054734
POI_000319,1862061117,petrol_station,,27.6230898,-11.6233379
POI_000320,1861996003,petrol_station,,27.6302008,-11.6234746
POI_000321,1861996005,petrol_station,,27.6310349,-11.6240756
POI_000322,4324111292,petrol_station,Atlas,28.175122,-11.8791724
POI_000323,3192079787,petrol_station,,28.4846306,-11.3211727
POI_000324,1419624339,petrol_station,,28.4387696,-11.1021476
POI_000325,1419624344,petrol_station,,28.4333543,-11.1053753
POI_000326,8213844918,petrol_station,,28.4371264,-11.0986438
POI_000327,1419624329,petrol_station,,28.4378045,-11.090126
POI_000328,8213845520,petrol_station,,28.4336662,-11.0842608
POI_000329,1419624335,petrol_station,Petrofib,28.4339807,-11.0793652
POI_000330,3192079597,petrol_station,Afriquia أفريقيا,28.9782957,-10.0771363
POI_000331,5260356723,petrol_station,Afriqyiia,28.9950105,-10.0713678
POI_000332,6611245747,petrol_station,,29.0627527,-10.0935484
POI_000333,2014792545,petrol_station,Moove Oil,29.3787092,-10.1761359
POI_000334,5277827317,petrol_station,,29.3968971,-10.1491503
POI_000335,3936255133,petrol_station,نفطال,27.6089097,-8.1065971
POI_000336,4577820553,petrol_station,محطة الخدمات توهامي,27.6564232,-8.1382244
POI_000337,4577820554,petrol_station,محطة الخدمات شارع الطيب بولحروف,27.6779549,-8.1493536
POI_000338,4577820555,petrol_station,محطة الخدمات حي البناء,27.6803483,-8.1201688
POI_000339,4577885342,petrol_station,,27.7421137,-8.1496702
POI_000340,606216918,petrol_station,Petrom,28.6175135,-9.4505524
POI_000341,12913181309,petrol_station,,28.6183408,-9.45577
POI_000342,5286732146,petrol_station,Afriquia أفريقيا,28.9681362,-10.0345945
POI_000343,5159127130,petrol_station,وقود السقاطة,28.9860128,-10.0603123
POI_000344,5159127128,petrol_station,,28.9876485,-10.0575206
POI_000345,3192079648,petrol_station,,29.0104672,-10.0405438
POI_000346,11314025797,petrol_station,Hamama,29.022136,-10.014692
POI_000347,2014337582,petrol_station,PetroBig,28.9853526,-9.8265484
POI_000348,7058557285,petrol_station,شل,29.1257708,-9.7847836
